Inline	Crossline	Time(ms)	Density(kg/m3)	Sonic(us/m)	Gamma_Ray(API)	Porosity(fraction)	P_Impedance(Kg/m2s)	P_Impedance_rel(Kg/m2s)	Vp(Meter/second)
442	1007	253.89074707	2112.8	1e30	20.35	0.3358	4323980	4064.08007813	1e30
442	1007	254.05036926	2112.8	1e30	20.35	0.3358	4324090	4045.55004883	1e30
442	1007	254.20996094	2112.8	1e30	20.35	0.3357	4324200	4027.02001953	1e30
442	1007	254.36961365	2112.83007813	1e30	20.35017204	0.3357	4324380	4008.48632813	1e30
442	1007	254.52923584	2112.9	1e30	21.19311333	0.3357	4324620	3989.96630859	1e30
442	1007	254.68882751	2112.9	1e30	23.2276001	0.3357	4324730	3971.42993164	1e30
442	1007	254.84844971	2112.9	1e30	23.65	0.3357	4324840	3934.79003906	1e30
442	1007	255.0080719	2112.9	1e30	23.65	0.3357	4324950	3871.1	1e30
442	1007	255.16772461	2112.91992188	1e30	23.65	0.3357	4325110	3807.39697266	1e30
442	1007	255.32731628	2113	1e30	23.65	0.3356	4325370	3743.69702148	1e30
442	1007	255.48693848	2113	1e30	23.65	0.3356	4325480	3680.01	1e30
442	1007	255.64656067	2113	1e30	23.65	0.3356	4325590	3616.31005859	1e30
442	1007	255.80615234	2113.02001953	1e30	23.65	0.3356	4325740	3549.76	1e30
442	1007	255.96580505	2113.1	1e30	23.65	0.3356	4326010	3467.43359375	1e30
442	1007	256.12542725	2113.1	1e30	23.65	0.3356	4326120	3385.12329102	1e30
442	1007	256.28500366	2113.1	1e30	23.60919952	0.3356	4326230	3302.82006836	1e30
442	1007	256.44464111	2113.1	1e30	23.278	0.3355	4326340	3220.51	1e30
442	1007	256.60424805	2113.11010742	1e30	22.75	0.3355	4326470	3138.2	1e30
442	1007	256.76391602	2113.2	1e30	22.75	0.3355	4326760	3055.875	1e30
442	1007	256.92349243	2113.2	1e30	22.78529739	0.3355	4326870	2983.18554688	1e30
442	1007	257.08312988	2113.2	1e30	23.26530075	0.3355	4326980	2911.5	1e30
442	1007	257.24273682	2113.2	1e30	23.7486	0.3355	4327100	2839.81005859	1e30
442	1007	257.40234375	2113.3	1e30	24.44529915	0.3355	4327400	2768.11010742	1e30
442	1007	257.5619812	2113.29980469	1e30	25.33538246	0.3355	4327510	2696.40527344	1e30
442	1007	257.72158813	2113.3	1e30	26.23208046	0.3354	4327620	2624.72045898	1e30
442	1007	257.88122559	2113.3	1e30	27.12879944	0.3354	4327730	2577.9699707	1e30
442	1007	258.040802	2113.3	1e30	27.5401001	0.3354	4327840	2544.12988281	1e30
442	1007	258.20043945	2113.4	1e30	27.55	0.3354	4328150	2510.3	1e30
442	1007	258.3600769	2113.4	1e30	27.54994202	0.3354	4328260	2476.46313477	1e30
442	1007	258.51968384	2113.4	1e30	27.2714386	0.3354	4328370	2442.63305664	1e30
442	1007	258.67929077	2113.4	1e30	26.97640038	0.3354	4328480	2408.8	1e30
442	1007	258.83892822	2113.49	1e30	26.14360046	0.3353	4328770	2399.11010742	1e30
442	1007	258.99850464	2113.5	1e30	26.05	0.3353	4328900	2423.9699707	1e30
442	1007	259.15817261	2113.5	1e30	26.05	0.3353	4329010	2448.83520508	1e30
442	1007	259.31777954	2113.5	1e30	26.05005074	0.3353	4329120	2473.69506836	1e30
442	1007	259.47741699	2113.5	1e30	26.2996006	0.3353	4329230	2498.55004883	1e30
442	1007	259.63699341	2113.58007813	1e30	26.59480095	0.3353	4329510	2523.40991211	1e30
442	1007	259.79663086	2113.6	1e30	27.13	0.3353	4329660	2559.67993164	1e30
442	1007	259.95626831	2113.6	1e30	28.66117668	0.3352	4329760	2654.109375	1e30
442	1007	260.11587524	2113.6	1e30	29.05	0.3352	4329870	2748.52929688	1e30
442	1007	260.27548218	2113.6	1e30	29.05	0.3352	4329980	2842.93994141	1e30
442	1007	260.43511963	2113.66992188	1e30	27.94580078	0.3352	4330240	2937.36010742	1e30
442	1007	260.59469604	2113.7	1e30	26.03790092	0.3352	4330400	3031.77001953	1e30
442	1007	260.7543335	2113.70019531	1e30	24.39386559	0.3352	4330510	3126.22167969	1e30
442	1007	260.91397095	2113.7	1e30	23.74358177	0.3352	4330620	3283.38330078	1e30
442	1007	261.07357788	2113.77001953	1e30	23.65	0.3352	4330870	3446.24	1e30
442	1007	261.23318481	2113.8	1e30	23.65	0.3351	4331050	3609.09008789	1e30
442	1007	261.39279175	2113.8	1e30	24.41810036	0.3351	4331160	3771.94995117	1e30
442	1007	261.55245972	2113.8	1e30	25.22458267	0.3351	4331270	3934.84301758	1e30
442	1007	261.71203613	2113.8	1e30	25.63242531	0.3351	4331370	4097.70117188	1e30
442	1007	261.87167358	2113.86010742	1e30	25.75	0.3351	4331600	4297.47021484	1e30
442	1007	262.03128052	2113.9	1e30	25.75	0.3351	4331800	4515.47998047	1e30
442	1007	262.19088745	2113.9	1e30	25.582	0.3351	4331910	4733.47998047	1e30
442	1007	262.3505249	2113.9	1e30	25.45	0.335	4332020	4951.53466797	1e30
442	1007	262.51016235	2113.94995117	1e30	25.45003128	0.335	4332230	5169.54443359	1e30
442	1007	262.66976929	2114	1e30	25.60359955	0.335	4332440	5387.54980469	1e30
442	1007	262.82937622	2114	1e30	25.99080086	0.335	4332550	5618.79003906	1e30
442	1007	262.98898315	2114	1e30	26.29039955	0.335	4332660	5868.18017578	1e30
442	1007	263.14862061	2114	1e30	26.35	0.335	4332770	6117.62011719	1e30
442	1007	263.30822754	2114.04003906	1e30	26.34994698	0.335	4332970	6367.01074219	1e30
