Inline	Crossline	Time(ms)	Density(Kg/m3)	Sonic(Microseconds/meter)	Gamma_Ray(API)	Porosity(Fraction)	P_Impedance(Meter/second x Kg/m3)	P_Impedance_rel(Meter/second x Kg/m3)	Vp(Meter/second)
722	848	1355.12451172	2100.3	495.71899414	57.54119873	0.3436	4236890	92777.8984375	2017.2800293
722	848	1355.2734375	2103.04003906	494.16400146	53.34109879	0.3419	4255740	90588.6015625	2023.62
722	848	1355.4206543	2104.64135742	493.23220825	47.6109848	0.34089914	4267030	88399.4296875	2027.4432373
722	848	1355.56848145	2106.40087891	492.22543335	50.04519272	0.33979928	4279340	86210.265625	2031.59240723
722	848	1355.71643066	2107.67993164	491.52801514	49.1794014	0.3389	4288020	84083.796875	2034.4699707
722	848	1355.86352539	2105.40991211	492.78601074	51.82080078	0.3404	4272470	81992.3984375	2029.27001953
722	848	1356.01257324	2101.81005859	494.875	55.24879837	0.3427	4247200	79901.1015625	2020.70996094
722	848	1356.16271973	2093.48852539	499.59484863	57.76138687	0.3479009	4190380	77809.6953125	2001.62670898
722	848	1356.31262207	2091.67333984	500.61410522	60.32238388	0.34899792	4178190	75718.3046875	1997.55761719
722	848	1356.46154785	2095.75	498.29501343	58.70970154	0.3464	4205850	73628.6015625	2006.83996582
722	848	1356.6105957	2103.02001953	494.15499878	56.24959946	0.3419	4255780	71590.296875	2023.66003418
722	848	1356.75854492	2106	492.46499634	50.09	0.34	4276450	69629.5	2030.6
722	848	1356.90563965	2109.26342773	490.63110352	50.92436218	0.33789799	4299060	67668.703125	2038.18798828
722	848	1357.05175781	2113.38891602	488.29846191	57.38663483	0.33540055	4328080	65708.0078125	2047.92797852
722	848	1357.19848633	2112.35009766	488.87600708	56.44530106	0.3361	4320820	63748.80078125	2045.51
722	848	1357.34655762	2100.64990234	495.5249939	57.02030182	0.3433	4239300	61788	2018.07995605
722	848	1357.49462891	2109.44995117	490.50799561	55.50299835	0.3379	4300590	59835.1015625	2038.7
722	848	1357.64160156	2105.85058594	492.54876709	54.762146	0.34009975	4275420	57924.74609375	2030.25097656
722	848	1357.78967285	2106.38720703	492.24487305	53.59220505	0.33979544	4279100	56014.33984375	2031.52709961
722	848	1357.9354248	2115.3	487.194	54.82450104	0.3342	4341890	54105.5	2052.57006836
722	848	1358.08251953	2113.83007813	488.00601196	53.04050064	0.3351	4331580	52195.1015625	2049.13989258
722	848	1358.22961426	2107.56005859	491.57299805	55.50669861	0.339	4287420	50284.80078125	2034.29003906
722	848	1358.37756348	2104.52368164	493.31698608	54.47324371	0.3408978	4266040	48374.2578125	2027.09851074
722	848	1358.52453613	2108.98413086	490.78970337	55.50990295	0.33819738	4297140	46359.74609375	2037.53967285
722	848	1358.67138672	2113.93994141	487.97198486	56.86859894	0.335	4332130	44331.8984375	2049.3
722	848	1358.81750488	2115.37011719	487.17300415	55.08560181	0.3342	4342130	42302.3984375	2052.65991211
722	848	1358.96350098	2115.87988281	486.8789978	55.91270065	0.3339	4345810	40272.8984375	2053.9
722	848	1359.10949707	2116.75097656	486.38140869	55.28453827	0.33329934	4352030	38243.34765625	2056.00244141
722	848	1359.25476074	2118.02905273	485.66360474	52.5090332	0.3325007	4361110	36213.6875	2059.03759766
722	848	1359.4005127	2116.74	486.38101196	53.77759933	0.3333	4352030	33988.5	2056
722	848	1359.54858398	2108.33007813	491.13198853	57.07310104	0.3385	4293010	31626	2036.1
722	848	1359.69763184	2099.3	496.26501465	60.5060997	0.3442	4230320	29263.59960938	2015.05004883
722	848	1359.84667969	2097.03417969	497.57165527	59.79550934	0.34559742	4214520	26901.078125	2009.75952148
722	848	1360	2102.11303711	494.67138672	60.17699051	0.34239823	4249590	24538.67773438	2021.54675293
722	848	1360.14245605	2105.65991211	492.67300415	61.76530075	0.3402	4273950	22178.09960938	2029.74
722	848	1360.29150391	2097.09008789	497.55300903	61.722	0.3456	4215200	19621.40039063	2009.82995605
722	848	1360.44140625	2096.22998047	498.03	61.49530029	0.3461	4209170	16693.19921875	2007.91003418
722	848	1360.59155273	2092.546875	500.12280273	63.34328079	0.34840202	4184340	13765.01855469	1999.51257324
722	848	1360.74267578	2088.60424805	502.35775757	65.27772522	0.35089755	4157580	10836.71679688	1990.61877441
722	848	1360.89160156	2093.45996094	499.60998535	64.4509964	0.3479	4190290	7910.93017578	2001.56005859
722	848	1361.04150391	2093.56005859	499.5539856	61.49280167	0.3478	4190920	4982.70996094	2001.79003906
722	848	1361.19152832	2093.95996094	499.32	60.5238	0.3475	4193700	1931.18994141	2002.7199707
722	848	1361.34155273	2093.90869141	499.35568237	63.33272552	0.34760076	4193300	-1653.04638672	2002.57727051
722	848	1361.49157715	2092.43310547	500.17718506	66.31076813	0.34849799	4183390	-5237.27636719	1999.29736328
722	848	1361.64050293	2096.35009766	497.94	67.37580109	0.346	4210090	-8818.58984375	2008.27001953
722	848	1361.78942871	2100.93994141	495.349	65.38569641	0.3432	4241360	-12402.79980469	2018.79003906
722	848	1361.9375	2104.47998047	493.33898926	61.87549973	0.341	4265820	-15987.09960938	2027
722	848	1362.08569336	2106.83837891	491.99105835	61.22416687	0.33950114	4282280	-19571.8984375	2032.55554199
722	848	1362.23254395	2104.54394531	493.30950928	61.06588745	0.34090391	4266330	-23871.09765625	2027.10559082
722	848	1362.38244629	2096.92993164	497.63	60.67710114	0.3457	4213960	-28167.40039063	2009.5300293
722	848	1362.53259277	2094.47998047	499.01901245	58.93130112	0.3472	4197260	-32467.09960938	2003.93994141
722	848	1362.68164063	2097.54003906	497.2869873	53.53089905	0.3453	4217970	-36766.8984375	2010.91003418
722	848	1362.83081055	2094.55639648	498.9760437	52.89574432	0.34710228	4197780	-41066.69921875	2004.10168457
722	848	1362.98168945	2090.09887695	501.48480225	55.28513336	0.34990093	4167840	-45366.9140625	1994.07714844
722	848	1363.13244629	2088.47998047	502.4119873	56.79959869	0.351	4156920	-50171.8984375	1990.4
722	848	1363.2824707	2090.32006836	501.40200806	58.346	0.3498	4168970	-55098.6015625	1994.42004395
722	848	1363.43237305	2095.57006836	498.4119873	61.91419983	0.3465	4204660	-60025.30078125	2006.37
722	848	1363.57958984	2105.69628906	492.65942383	63.37981796	0.34019607	4274290	-64952.0078125	2029.80493164
722	848	1363.7265625	2113.38745117	488.27328491	61.19789886	0.33540136	4328310	-69878.7109375	2048.0246582
722	848	1363.87365723	2110.55004883	489.89001465	59.9701004	0.3371	4308260	-74801.3984375	2041.27001953
722	848	1364.02062988	2106.3	492.29699707	62.05749893	0.3398	4278510	-79940.3984375	2031.3
722	848	1364.16845703	2107.16992188	491.806	59.50960159	0.3393	4284580	-85206.3984375	2033.31994629
722	848	1364.31567383	2111.66162109	489.25787354	60.70949936	0.33649877	4316080	-90472.390625	2043.91479492
722	848	1364.46154785	2114.03979492	487.87774658	59.72229004	0.33500636	4333480	-95738.390625	2049.66601563
722	848	1364.61047363	2101.6	494.96099854	59.0945015	0.3428	4245980	-101000	2020.35998535
722	848	1364.75854492	2102.34008789	494.56298828	61.1515007	0.3423	4250900	-106266	2021.99
722	848	1364.90649414	2102.29003906	494.58099365	62.53089905	0.3423	4250780	-111595	2021.91003418
722	848	1365.05664063	2092.34375	500.25289917	63.5708847	0.34849772	4182560	-117028.4296875	1998.98840332
722	848	1365.20654297	2096.79614258	497.69259644	63.54901123	0.34569624	4213030	-122462.421875	2009.28381348
722	848	1365.35449219	2104.17993164	493.52700806	57.7901001	0.3411	4263550	-127891	2026.22998047
722	848	1365.50256348	2101.41992188	495.09500122	59.04560089	0.3429	4244480	-133325	2019.81005859
722	848	1365.65161133	2098.65991211	496.65	58.76340103	0.3446	4225630	-138758	2013.49
722	848	1365.80078125	2099.33300781	496.23376465	57.56835938	0.34411082	4230730	-144112.1875	2015.18078613
722	848	1365.95361328	2078.13476563	508.31164551	55.79814148	0.35744688	4089590	-149265.203125	1967.15075684
722	848	1366.12158203	1986.1	560.60797119	59.04	0.415	3542760	-154414	1783.7800293
722	848	1366.29248047	1969	570.2800293	55.93	0.4256	3452690	-159566	1753.5300293
722	848	1366.46252441	1974.2	567.35101318	57.02809906	0.4224	3479680	-164719	1762.57995605
722	848	1366.6315918	1984.68676758	561.38842773	56.46667099	0.41577089	3535090	-169871.875	1781.29919434
722	848	1366.78967285	2042.06896973	528.78808594	52.37792206	0.3799693	3862600	-174628.328125	1891.22644043
