Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Kg/m2s)	P_Impedance(Kg/m2s)	Porosity(fraction)	Gamma_Ray(API)	Sonic(us/m)	Density(kg/m3)
442	1007	557.1829834	2122.57128906	151356	4549966	0.31728598	62.87057495	471.82949829	2142.33642578
442	1007	557.34265137	2123.36572266	155440.5	4552327	0.31707296	62.76123428	471.63592529	2142.67749023
442	1007	557.50219727	2124.11767578	159406.328125	4554560.5	0.3168709	62.65235138	471.45230103	2143
442	1007	557.66186523	2124.82739258	163255.859375	4556669	0.31667957	62.54382706	471.27853394	2143.30688477
442	1007	557.8215332	2125.49438477	166986.59375	4558650.5	0.3164992	62.43568039	471.11471558	2143.59570313
442	1007	557.98114014	2126.11694336	170591.9375	4560500.5	0.31633011	62.32806396	470.96124268	2143.86621094
442	1007	558.14080811	2126.69580078	174075.546875	4562220.5	0.31617221	62.22081757	470.81793213	2144.11889648
442	1007	558.300354	2127.22875977	177429.828125	4563805	0.31602597	62.1141243	470.68539429	2144.3527832
442	1007	558.46008301	2127.71630859	180657.078125	4565253.5	0.31589144	62.00785065	470.56350708	2144.56811523
442	1007	558.61968994	2128.15673828	183755.375	4566563	0.31576887	61.90198517	470.4526062	2144.76416016
442	1007	558.77929688	2128.54907227	186719.484375	4567729.5	0.31565869	61.79663086	470.35296631	2144.94067383
442	1007	558.93896484	2128.89257813	189552.640625	4568752.5	0.31556091	61.69158173	470.26480103	2145.09692383
442	1007	559.09857178	2129.1862793	192248.96875	4569626.5	0.31547594	61.58696747	470.18832397	2145.23291016
442	1007	559.25823975	2129.42919922	194810.546875	4570350	0.31540394	61.48261261	470.1237793	2145.34814453
442	1007	559.41784668	2129.62084961	197236.09375	4570921	0.31534511	61.37847137	470.07128906	2145.44238281
442	1007	559.57745361	2129.75976563	199521.859375	4571337.5	0.31529972	61.27460861	470.03125	2145.51489258
442	1007	559.73712158	2129.84594727	201670.5625	4571597	0.3152678	61.17078781	470.00360107	2145.56591797
442	1007	559.89672852	2129.87890625	203678.125	4571699	0.31524959	61.06707764	469.98852539	2145.59521484
442	1007	560.05639648	2129.8581543	205546.40625	4571641.5	0.31524509	60.96323395	469.9861145	2145.60229492
442	1007	560.21600342	2129.78344727	207274.765625	4571424.5	0.31525445	60.85913467	469.99642944	2145.5871582
442	1007	560.37561035	2129.65454102	208860.953125	4571047.5	0.31527764	60.75476837	470.0196228	2145.55029297
442	1007	560.53533936	2129.47070313	210307.234375	4570508	0.3153148	60.64981842	470.0557251	2145.49072266
442	1007	560.69488525	2129.23266602	211611.28125	4569807.5	0.31536597	60.54429245	470.10476685	2145.40893555
442	1007	560.85455322	2128.93920898	212774.75	4568943.5	0.31543124	60.43790817	470.16690063	2145.30444336
442	1007	561.01416016	2128.59033203	213797.65625	4567916.5	0.3155106	60.33049774	470.24212646	2145.17749023
442	1007	561.17376709	2128.1875	214679.203125	4566728.5	0.31560388	60.22202682	470.3302002	2145.02807617
