Inline	Crossline	Time(ms)	Vp(Meter/second)	P_Impedance_rel(Meter/second x Kg/m3)	P_Impedance(Meter/second x Kg/m3)	Porosity(Fraction)	Gamma_Ray(API)	Sonic(Microseconds/meter)	Density(Kg/m3)
362	336	896.36547852	2136.60375977	11704.8515625	4732538.5	0.33933792	49.75054169	468.72161865	2107.05834961
362	336	896.47155762	2136.75488281	11887.17382813	4732785.5	0.33930051	49.75225449	468.66513062	2107.1184082
362	336	896.6373291	2136.91235352	12093.703125	4733057.5	0.33926207	49.75395966	468.60736084	2107.17993164
362	336	896.77313232	2137.07666016	12322.8828125	4733354	0.33922297	49.75567627	468.54852295	2107.24267578
362	336	896.90991211	2137.24682617	12575.13574219	4733675	0.33918285	49.75743484	468.48873901	2107.30664063
362	336	897.0479126	2137.42431641	12850.515625	4734020	0.33914196	49.7592659	468.427948	2107.37207031
362	336	897.18811035	2137.609375	13148.36425781	4734390.5	0.33910075	49.76120377	468.36636353	2107.43798828
362	336	897.33001709	2137.80078125	13470.07128906	4734785	0.33905858	49.76327515	468.30389404	2107.50537109
362	336	897.47320557	2137.99731445	13813.16796875	4735202.5	0.33901605	49.76551056	468.24060059	2107.57348633
362	336	897.61578369	2138.19921875	14177.65527344	4735641	0.33897281	49.76794815	468.17666626	2107.64257813
362	336	897.75732422	2138.40722656	14564.55566406	4736101.5	0.33892903	49.77062988	468.11187744	2107.71264648
362	336	897.89709473	2138.62011719	14972.15527344	4736582	0.3388851	49.77359009	468.04644775	2107.78320313
362	336	898.03588867	2138.83764648	15402.73046875	4737084.5	0.33884051	49.77687454	467.98031616	2107.85424805
362	336	898.17510986	2139.06176758	15853.24804688	4737605	0.33879578	49.78050995	467.91363525	2107.92578125
362	336	898.31518555	2139.2902832	16322.97167969	4738142	0.33875045	49.78453064	467.84646606	2107.99829102
362	336	898.45623779	2139.5234375	16814.13867188	4738699.5	0.33870479	49.78896332	467.77868652	2108.0715332
362	336	898.59796143	2139.76	17323.43945313	4739274	0.33865899	49.79381943	467.71047974	2108.14477539
362	336	898.74029541	2140	17854.73828125	4739870.5	0.33861256	49.79914474	467.64169312	2108.21899414
362	336	898.88311768	2140.24560547	18403.98242188	4740486	0.33856589	49.80495834	467.57226563	2108.29345703
362	336	899.02563477	2140.49511719	18969.79882813	4741120	0.33851856	49.81128693	467.50216675	2108.36938477
362	336	899.16656494	2140.74853516	19555.6015625	4741776.5	0.33847064	49.81816864	467.4312439	2108.44628906
362	336	899.30627441	2141.00390625	20156.6171875	4742451.5	0.33842242	49.82559967	467.35943604	2108.5234375
362	336	899.44506836	2141.26245117	20778.2578125	4743153	0.33837345	49.83361816	467.28665161	2108.6015625
362	336	899.58349609	2141.52490234	21415.74414063	4743874.5	0.3383241	49.84222412	467.21292114	2108.68041992
362	336	899.72216797	2141.78930664	22066.15820313	4744615	0.33827406	49.85144043	467.1383667	2108.76074219
362	336	899.86108398	2142.05493164	22735.4296875	4745381	0.33822334	49.86130524	467.06286621	2108.84179688
362	336	900	2142.32495117	23416.09179688	4746164	0.33817241	49.87182236	466.98654175	2108.92333984
362	336	900.14190674	2142.59765625	24115.51171875	4746972	0.33812088	49.88304901	466.90948486	2109.00585938
362	336	900.28375244	2142.87280273	24828.09179688	4747799.5	0.3380689	49.89498901	466.83181763	2109.08886719
362	336	900.42614746	2143.14941406	25549.87890625	4748641.5	0.33801648	49.90765381	466.75363159	2109.17285156
362	336	900.56829834	2143.42749023	26288.76757813	4749508	0.33796343	49.92107391	466.67492676	2109.25756836
362	336	900.70947266	2143.70898438	27034.87304688	4750386	0.33791023	49.93522263	466.59588623	2109.3425293
362	336	900.84967041	2143.99267578	27797.48828125	4751287	0.33785662	49.95014954	466.51647949	2109.4284668
362	336	900.98907471	2144.27856445	28570.67382813	4752203	0.33780274	49.96586227	466.43695068	2109.51464844
362	336	901.12811279	2144.56494141	29348.35546875	4753129	0.33774859	49.98238373	466.35717773	2109.60131836
362	336	901.26739502	2144.85400391	30140.66601563	4754075.5	0.33769405	50	466.27722168	2109.68847656
362	336	901.40710449	2145.14501953	30936.4921875	4755030	0.33763948	50.01803589	466.19711304	2109.77612305
362	336	901.54754639	2145.4375	31745.01171875	4756004.5	0.33758473	50.03721619	466.11685181	2109.86352539
362	336	901.68804932	2145.73095703	32560.99023438	4756991	0.33752987	50.0573082	466.03662109	2109.95141602
362	336	901.82769775	2146.02734375	33377.6015625	4757982.5	0.337475	50.07831955	465.95632935	2110.03881836
362	336	901.96618652	2146.32641602	34204.8046875	4758992.5	0.33741984	50.10029221	465.87606812	2110.12719727
362	336	902.10253906	2146.62695313	35031.515625	4760007	0.33736479	50.12318802	465.79602051	2110.21533203
362	336	902.23706055	2146.92822266	35866.83984375	4761038	0.33730978	50.14705658	465.71612549	2110.30371094
362	336	902.37139893	2147.23144531	36705.3515625	4762079.5	0.3372547	50.17186737	465.63650513	2110.39160156
362	336	902.50610352	2147.53710938	37541.1171875	4763123.5	0.33719984	50.19762039	465.55728149	2110.47949219
362	336	902.64117432	2147.84423828	38381.89453125	4764180	0.33714488	50.22435379	465.47839355	2110.56713867
362	336	902.77679443	2148.15112305	39218.80078125	4765237.5	0.33709034	50.25202179	465.4	2110.65454102
362	336	902.91345215	2148.46020508	40059.03125	4766306	0.33703619	50.28068542	465.32217407	2110.74121094
362	336	903.05084229	2148.76953125	40898.61328125	4767379.5	0.33698228	50.31031799	465.24487305	2110.82739258
362	336	903.18908691	2149.07861328	41730.6796875	4768450	0.3369289	50.34093475	465.16824341	2110.9128418
